Platform,TYP,ANZAHL,SUMME
LIVE,BTOTMSTag,0,8979
LIVE,BTOTMSTag,1,3370
LIVE,BTOTMSTag,2,1335
LIVE,BTOTMSTag,3,1391
LIVE,BTOAdTag,1,7136
LIVE,BTOAdTag,2,6695
LIVE,BTOAdTag,3,1244
LIVE,BTOPartnerInclude,0,7230
LIVE,BTOPartnerInclude,1,7012
LIVE,BTOPartnerInclude,2,823
LIVE,BTOPartnerInclude,3,10
DEV,BTOTMSTag,0,114
DEV,BTOTMSTag,2,12730
DEV,BTOTMSTag,3,2231
DEV,BTOAdTag,0,142
DEV,BTOAdTag,1,56
DEV,BTOAdTag,2,7229
DEV,BTOAdTag,3,3775
DEV,BTOAdTag,4,3045
DEV,BTOAdTag,5,828
DEV,BTOPartnerInclude,0,7171
DEV,BTOPartnerInclude,1,6896
DEV,BTOPartnerInclude,2,1003
DEV,BTOPartnerInclude,3,5
STAGE,BTOTMSTag,0,114
STAGE,BTOTMSTag,2,12455
STAGE,BTOTMSTag,3,2385
STAGE,BTOTMSTag,4,43
STAGE,BTOTMSTag,5,78
STAGE,BTOAdTag,0,142
STAGE,BTOAdTag,1,52
STAGE,BTOAdTag,2,5851
STAGE,BTOAdTag,3,4189
STAGE,BTOAdTag,4,4005
STAGE,BTOAdTag,5,836
STAGE,BTOPartnerInclude,0,7014
STAGE,BTOPartnerInclude,1,6838
STAGE,BTOPartnerInclude,2,1214
STAGE,BTOPartnerInclude,3,9
mLIVE,BTOTMSTag,0,15073
mLIVE,BTOTMSTag,3,2
mLIVE,BTOAdTag,0,99
mLIVE,BTOAdTag,1,14976
mLIVE,BTOPartnerInclude,0,15075
mDEV,BTOTMSTag,0,15075
mDEV,BTOAdTag,0,99
mDEV,BTOAdTag,1,12655
mDEV,BTOAdTag,2,2320
mDEV,BTOAdTag,3,1
mDEV,BTOPartnerInclude,0,15075
mSTAGE,BTOTMSTag,0,10311
mSTAGE,BTOTMSTag,3,4764
mSTAGE,BTOAdTag,0,99
mSTAGE,BTOAdTag,1,12655
mSTAGE,BTOAdTag,2,2320
mSTAGE,BTOAdTag,3,1
mSTAGE,BTOPartnerInclude,0,15075